_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5e76b19ff9af8b7fd368f9c9,0039,"Thu, 05 Mar 2020 16:15:36 GMT","Thu, 05 Mar 2020 23:20:44 GMT","Thu, 05 Mar 2020 22:06:35 GMT",35.069,2_39_79_376_2020-03-05 16:15:36.067823,0002,CA-324,2-39-79-376,America/Los_Angeles,000003424,"[{'WhPerMile': 295, 'kWhRequested': 50.15, 'milesRequested': 170, 'minutesAvailable': 503, 'modifiedAt': 'Thu, 05 Mar 2020 16:15:54 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Mar 2020 00:38:36 GMT', 'userID': 3424}]"
5e76b19ff9af8b7fd368f9ca,0039,"Thu, 05 Mar 2020 16:22:46 GMT","Thu, 05 Mar 2020 22:13:14 GMT","Thu, 05 Mar 2020 22:10:20 GMT",1.253,2_39_79_380_2020-03-05 16:22:46.031798,0002,CA-489,2-39-79-380,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9cb,0039,"Thu, 05 Mar 2020 16:42:38 GMT","Fri, 06 Mar 2020 01:42:51 GMT","Thu, 05 Mar 2020 18:04:58 GMT",4.313,2_39_139_28_2020-03-05 16:42:38.146343,0002,CA-303,2-39-139-28,America/Los_Angeles,000000712,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 343, 'modifiedAt': 'Thu, 05 Mar 2020 16:42:46 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 22:25:38 GMT', 'userID': 712}]"
5e76b19ff9af8b7fd368f9cc,0039,"Thu, 05 Mar 2020 16:43:10 GMT","Thu, 05 Mar 2020 19:06:03 GMT","Thu, 05 Mar 2020 19:07:02 GMT",9.817213261647103,2_39_78_362_2020-03-05 16:43:10.433942,0002,CA-496,2-39-78-362,America/Los_Angeles,000001470,"[{'WhPerMile': 292, 'kWhRequested': 20.44, 'milesRequested': 70, 'minutesAvailable': 266, 'modifiedAt': 'Thu, 05 Mar 2020 16:45:39 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 21:09:10 GMT', 'userID': 1470}]"
5e76b19ff9af8b7fd368f9cd,0039,"Thu, 05 Mar 2020 16:46:27 GMT","Fri, 06 Mar 2020 01:06:20 GMT","Thu, 05 Mar 2020 18:14:53 GMT",3.946,2_39_131_30_2020-03-05 16:46:27.193339,0002,CA-305,2-39-131-30,America/Los_Angeles,000001366,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Thu, 05 Mar 2020 16:46:41 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 17:46:27 GMT', 'userID': 1366}]"
5e76b19ff9af8b7fd368f9ce,0039,"Thu, 05 Mar 2020 16:50:46 GMT","Thu, 05 Mar 2020 18:05:58 GMT","Thu, 05 Mar 2020 17:59:33 GMT",1.3686290322577859,2_39_78_363_2020-03-05 16:50:45.843167,0002,CA-320,2-39-78-363,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9cf,0039,"Thu, 05 Mar 2020 17:00:11 GMT","Fri, 06 Mar 2020 01:20:19 GMT","Thu, 05 Mar 2020 19:45:41 GMT",14.619,2_39_91_437_2020-03-05 17:00:11.265388,0002,CA-317,2-39-91-437,America/Los_Angeles,000000431,"[{'WhPerMile': 300, 'kWhRequested': 21.0, 'milesRequested': 70, 'minutesAvailable': 270, 'modifiedAt': 'Thu, 05 Mar 2020 17:00:31 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 21:30:11 GMT', 'userID': 431}]"
5e76b19ff9af8b7fd368f9d0,0039,"Thu, 05 Mar 2020 17:06:22 GMT","Fri, 06 Mar 2020 01:22:30 GMT","Thu, 05 Mar 2020 17:36:11 GMT",0.823,2_39_79_379_2020-03-05 17:06:22.562956,0002,CA-327,2-39-79-379,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9d1,0039,"Thu, 05 Mar 2020 17:09:24 GMT","Fri, 06 Mar 2020 01:17:15 GMT","Thu, 05 Mar 2020 18:57:29 GMT",5.224,2_39_89_25_2020-03-05 17:09:24.354256,0002,CA-315,2-39-89-25,America/Los_Angeles,000000743,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 457, 'modifiedAt': 'Thu, 05 Mar 2020 17:10:23 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Mar 2020 00:46:24 GMT', 'userID': 743}]"
5e76b19ff9af8b7fd368f9d2,0039,"Thu, 05 Mar 2020 17:20:28 GMT","Fri, 06 Mar 2020 00:43:22 GMT","Thu, 05 Mar 2020 17:59:05 GMT",1.485,2_39_90_440_2020-03-05 17:20:28.100396,0002,CA-500,2-39-90-440,America/Los_Angeles,000003447,"[{'WhPerMile': 375, 'kWhRequested': 15.0, 'milesRequested': 40, 'minutesAvailable': 420, 'modifiedAt': 'Thu, 05 Mar 2020 17:21:53 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Mar 2020 00:20:28 GMT', 'userID': 3447}]"
5e76b19ff9af8b7fd368f9d3,0039,"Thu, 05 Mar 2020 17:33:44 GMT","Fri, 06 Mar 2020 02:21:39 GMT","Fri, 06 Mar 2020 02:21:15 GMT",1.195,2_39_95_27_2020-03-05 17:33:44.518940,0002,CA-319,2-39-95-27,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9d4,0039,"Thu, 05 Mar 2020 17:34:28 GMT","Fri, 06 Mar 2020 01:10:13 GMT","Fri, 06 Mar 2020 01:05:21 GMT",1.19,2_39_125_21_2020-03-05 17:34:29.789062,0002,CA-311,2-39-125-21,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9d5,0039,"Thu, 05 Mar 2020 17:37:09 GMT","Fri, 06 Mar 2020 00:37:10 GMT","Fri, 06 Mar 2020 00:35:29 GMT",1.395,2_39_78_365_2020-03-05 17:37:09.405216,0002,CA-321,2-39-78-365,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9d6,0039,"Thu, 05 Mar 2020 17:39:47 GMT","Thu, 05 Mar 2020 18:57:59 GMT","Thu, 05 Mar 2020 18:54:08 GMT",0.928,2_39_78_366_2020-03-05 17:39:47.343016,0002,CA-323,2-39-78-366,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9d7,0039,"Thu, 05 Mar 2020 17:42:39 GMT","Fri, 06 Mar 2020 01:39:47 GMT","Fri, 06 Mar 2020 01:24:58 GMT",1.354,2_39_79_381_2020-03-05 17:42:39.019243,0002,CA-490,2-39-79-381,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9d8,0039,"Thu, 05 Mar 2020 17:43:24 GMT","Fri, 06 Mar 2020 02:53:16 GMT","Thu, 05 Mar 2020 18:35:27 GMT",1.521,2_39_90_26_2020-03-05 17:43:23.827125,0002,CA-316,2-39-90-26,America/Los_Angeles,000000324,"[{'WhPerMile': 444, 'kWhRequested': 8.88, 'milesRequested': 20, 'minutesAvailable': 101, 'modifiedAt': 'Thu, 05 Mar 2020 17:44:44 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 19:24:24 GMT', 'userID': 324}, {'WhPerMile': 444, 'kWhRequested': 8.88, 'milesRequested': 20, 'minutesAvailable': 101, 'modifiedAt': 'Thu, 05 Mar 2020 17:45:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 19:24:24 GMT', 'userID': 324}]"
5e76b19ff9af8b7fd368f9d9,0039,"Thu, 05 Mar 2020 17:45:29 GMT","Fri, 06 Mar 2020 01:45:12 GMT","Thu, 05 Mar 2020 21:55:38 GMT",17.762,2_39_78_361_2020-03-05 17:45:29.132151,0002,CA-493,2-39-78-361,America/Los_Angeles,000001137,"[{'WhPerMile': 400, 'kWhRequested': 40.0, 'milesRequested': 100, 'minutesAvailable': 401, 'modifiedAt': 'Thu, 05 Mar 2020 17:45:49 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Mar 2020 00:26:29 GMT', 'userID': 1137}]"
5e76b19ff9af8b7fd368f9da,0039,"Thu, 05 Mar 2020 17:55:33 GMT","Fri, 06 Mar 2020 01:11:30 GMT","Thu, 05 Mar 2020 20:05:38 GMT",6.293,2_39_123_23_2020-03-05 17:55:33.434004,0002,CA-313,2-39-123-23,America/Los_Angeles,000005594,"[{'WhPerMile': 360, 'kWhRequested': 7.2, 'milesRequested': 20, 'minutesAvailable': 244, 'modifiedAt': 'Thu, 05 Mar 2020 17:56:02 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 21:59:33 GMT', 'userID': 5594}]"
5e76b19ff9af8b7fd368f9db,0039,"Thu, 05 Mar 2020 18:17:21 GMT","Thu, 05 Mar 2020 18:53:09 GMT","Thu, 05 Mar 2020 18:52:09 GMT",0.948,2_39_78_363_2020-03-05 18:17:21.082226,0002,CA-320,2-39-78-363,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9dc,0039,"Thu, 05 Mar 2020 18:20:39 GMT","Fri, 06 Mar 2020 02:16:46 GMT","Thu, 05 Mar 2020 20:31:52 GMT",7.078,2_39_95_444_2020-03-05 18:20:22.677540,0002,CA-497,2-39-95-444,America/Los_Angeles,000000515,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 250, 'modifiedAt': 'Thu, 05 Mar 2020 18:20:39 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 22:30:39 GMT', 'userID': 515}, {'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 250, 'modifiedAt': 'Thu, 05 Mar 2020 18:20:43 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 22:30:39 GMT', 'userID': 515}, {'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 250, 'modifiedAt': 'Thu, 05 Mar 2020 18:21:14 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 22:30:39 GMT', 'userID': 515}]"
5e76b19ff9af8b7fd368f9dd,0039,"Thu, 05 Mar 2020 18:21:20 GMT","Fri, 06 Mar 2020 01:42:03 GMT","Thu, 05 Mar 2020 20:14:49 GMT",3.5,2_39_91_441_2020-03-05 18:21:20.576347,0002,CA-499,2-39-91-441,America/Los_Angeles,000001095,"[{'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 444, 'modifiedAt': 'Thu, 05 Mar 2020 18:21:25 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Mar 2020 01:45:20 GMT', 'userID': 1095}]"
5e76b19ff9af8b7fd368f9de,0039,"Thu, 05 Mar 2020 18:25:12 GMT","Thu, 05 Mar 2020 18:59:43 GMT","Thu, 05 Mar 2020 18:59:11 GMT",3.071,2_39_124_22_2020-03-05 18:25:11.923981,0002,CA-312,2-39-124-22,America/Los_Angeles,000000668,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 424, 'modifiedAt': 'Thu, 05 Mar 2020 18:25:20 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Mar 2020 01:29:12 GMT', 'userID': 668}]"
5e76b19ff9af8b7fd368f9df,0039,"Thu, 05 Mar 2020 18:40:19 GMT","Fri, 06 Mar 2020 02:46:13 GMT","Thu, 05 Mar 2020 21:00:04 GMT",3.622,2_39_88_24_2020-03-05 18:40:18.887502,0002,CA-314,2-39-88-24,America/Los_Angeles,000000567,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 418, 'modifiedAt': 'Thu, 05 Mar 2020 18:40:20 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Mar 2020 01:38:19 GMT', 'userID': 567}]"
5e76b19ff9af8b7fd368f9e0,0039,"Thu, 05 Mar 2020 19:10:11 GMT","Thu, 05 Mar 2020 20:25:13 GMT","Thu, 05 Mar 2020 20:22:45 GMT",0.893,2_39_78_363_2020-03-05 19:10:11.143508,0002,CA-320,2-39-78-363,America/Los_Angeles,,
